year,month,day,hour,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2013,3,1,8,12.0,41.0,500.0,54.0,-0.3,1030.4,-21.2,0.0,NW,4.6,3
2013,3,1,9,11.0,22.0,500.0,65.0,0.4,1030.5,-23.3,0.0,N,5.5,9
2013,3,2,7,11.0,18.0,500.0,45.0,-4.0,1026.6,-14.2,0.0,E,1.2,6
2013,3,2,11,27.0,45.0,1399.0,31.0,2.5,1026.4,-17.1,0.0,SSW,2.0,5
2013,3,2,14,24.0,35.0,800.0,53.0,3.9,1026.8,-18.3,0.0,SSW,0.4,9
2013,3,2,16,42.0,64.0,900.0,33.0,2.5,1020.6,-17.1,0.0,WNW,0.5,2
2013,3,2,18,50.0,75.0,1100.0,34.0,2.2,1025.4,-15.8,0.0,NE,0.4,7
2013,3,2,20,57.0,100.0,1399.0,5.0,1.2,1022.9,-14.1,0.0,NNE,1.2,4
2013,3,3,2,72.0,94.0,2899.0,2.0,-2.8,1018.3,-12.3,0.0,NE,1.4,10
2013,3,3,3,50.0,61.0,2600.0,5.0,-3.6,1015.4,-11.6,0.0,SW,0.2,5
2013,3,3,12,79.0,109.0,2500.0,2.0,13.8,1012.5,-13.3,0.0,W,1.1,10
2013,3,3,16,22.0,61.0,700.0,44.0,16.4,1010.6,-15.4,0.0,NW,2.9,10
2013,3,3,17,15.0,34.0,800.0,72.0,13.0,1013.4,-13.1,0.0,N,1.1,8
2013,3,3,23,9.0,95.0,1500.0,2.0,5.2,1014.8,-10.6,0.0,NNW,1.7,4
2013,3,4,0,22.0,94.0,1700.0,2.0,7.7,1015.7,-11.1,0.0,N,2.6,4
2013,3,4,12,11.0,28.0,600.0,66.0,13.9,1020.6,-16.2,0.0,N,3.3,9
2013,3,5,0,32.0,96.0,1500.0,84.0,4.7,1017.9,-9.9,0.0,ESE,1.5,8
2013,3,5,1,82.0,58.0,1300.0,87.0,3.7,1013.9,-8.4,0.0,SSE,2.7,11
2013,3,5,3,20.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,0.0,N,0.2,1
2013,3,5,14,79.0,77.0,1600.0,84.0,13.6,1010.3,-7.8,0.0,E,1.7,8
2013,3,5,19,69.0,123.0,1899.0,81.0,7.7,1005.4,-7.6,0.0,NNE,0.2,1
2013,3,5,20,61.0,145.0,2500.0,94.0,5.2,1010.7,-4.7,0.0,N,0.0,9
2013,3,6,2,66.0,106.0,2399.0,61.0,4.6,1010.4,-6.0,0.0,N,1.2,8
2013,3,6,3,61.0,100.0,2200.0,61.0,4.1,1010.2,-5.9,0.0,N,1.8,8
2013,3,6,5,86.0,172.0,2399.0,30.0,4.6,1009.8,-6.3,0.0,NE,0.7,3
2013,3,6,11,109.0,153.0,4400.0,9.0,10.2,1005.7,-4.2,0.0,SE,1.0,5
2013,3,6,12,110.0,170.0,4400.0,9.0,11.0,1005.0,-4.7,0.0,S,0.8,5
2013,3,7,15,112.0,121.0,3100.0,85.0,18.1,1000.3,-2.3,0.0,SSW,1.4,8
2013,3,7,21,92.0,184.0,3500.0,94.0,11.0,996.8,-1.4,0.0,WNW,0.6,11
2013,3,8,8,69.0,200.0,6000.0,107.0,11.6,1002.3,-1.9,0.0,ESE,1.0,3
